date,team,opponent,is_home,home_team,arena,city,capacity,lon,lat,distance,distance_km,distance_mi
2023-10-09,Anaheim Ducks,none,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,NA,NA,NA
2023-10-14,Anaheim Ducks,Vegas Golden Knights,0,Vegas Golden Knights,T-Mobile Arena,"Paradise, Nevada",17368,-115.1781463,36.102909,354763.7199920004,354.8,220.4
2023-10-15,Anaheim Ducks,Carolina Hurricanes,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,354763.7199920004,354.8,220.4
2023-10-19,Anaheim Ducks,Dallas Stars,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,0,0,0
2023-10-21,Anaheim Ducks,Arizona Coyotes,0,Arizona Coyotes,ASU Multi-Purpose Arena,"Tempe, Arizona",5000,-111.9280527,33.4242399,553009.54999019,553,343.6
2023-10-22,Anaheim Ducks,Boston Bruins,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,553009.54999019,553,343.6
2023-10-24,Anaheim Ducks,Columbus Blue Jackets,0,Columbus Blue Jackets,Nationwide Arena,"Columbus, Ohio",18144,-83.0060483,39.9692072,3158309.859709048,3158.3,1962.5
2023-10-26,Anaheim Ducks,Boston Bruins,0,Boston Bruins,TD Garden,"Boston, Massachusetts",17565,-71.062146,42.366198,1034860.4816006086,1034.9,643
2023-10-28,Anaheim Ducks,Philadelphia Flyers,0,Philadelphia Flyers,Wells Fargo Center,"Philadelphia, Pennsylvania",19543,-75.17197949999999,39.9012015,440398.51690118865,440.4,273.7
2023-10-30,Anaheim Ducks,Pittsburgh Penguins,0,Pittsburgh Penguins,PPG Paints Arena,"Pittsburgh, Pennsylvania",18387,-79.98955289999999,40.4393097,414096.22607688245,414.1,257.3
2023-11-01,Anaheim Ducks,Arizona Coyotes,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,3415472.142105404,3415.5,2122.3
2023-11-05,Anaheim Ducks,Vegas Golden Knights,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,0,0,0
2023-11-07,Anaheim Ducks,Pittsburgh Penguins,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,0,0,0
2023-11-10,Anaheim Ducks,Philadelphia Flyers,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,0,0,0
2023-11-12,Anaheim Ducks,San Jose Sharks,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,0,0,0
2023-11-14,Anaheim Ducks,Nashville Predators,0,Nashville Predators,Bridgestone Arena,"Nashville, Tennessee",17159,-86.7784959,36.1591736,2836269.313331287,2836.3,1762.4
2023-11-15,Anaheim Ducks,Colorado Avalanche,0,Colorado Avalanche,Ball Arena,"Denver, Colorado",17809,-105.0076028,39.7486565,1646006.938236217,1646,1022.8
2023-11-17,Anaheim Ducks,Florida Panthers,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,1322411.8274454428,1322.4,821.7
2023-11-19,Anaheim Ducks,St. Louis Blues,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,0,0,0
2023-11-22,Anaheim Ducks,Montreal Canadiens,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,0,0,0
2023-11-24,Anaheim Ducks,Los Angeles Kings,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,0,0,0
2023-11-26,Anaheim Ducks,Edmonton Oilers,0,Edmonton Oilers,Rogers Place,"Edmonton, Alberta",18347,-113.4978004,53.54697549999999,2224402.473236215,2224.4,1382.2
2023-11-28,Anaheim Ducks,Vancouver Canucks,0,Vancouver Canucks,Rogers Arena,"Vancouver, British Columbia",18910,-123.1088227,49.2778358,818126.8676329333,818.1,508.4
