date,team,opponent,is_home,home_team,arena,city,capacity,lon,lat,distance,distance_km,distance_mi
2022-10-06,Anaheim Ducks,none,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,NA,NA,NA
2022-10-12,Anaheim Ducks,Seattle Kraken,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,0,0,0
2022-10-15,Anaheim Ducks,New York Islanders,0,New York Islanders,UBS Arena,"Elmont, New York",17113,-73.7260398,40.71179009999999,3943976.538915366,3944,2450.7
2022-10-17,Anaheim Ducks,New York Rangers,0,New York Rangers,Madison Square Garden,"New York City, New York",18006,-73.9934387,40.7505045,22964.611563847666,23,14.3
2022-10-18,Anaheim Ducks,New Jersey Devils,0,New Jersey Devils,Prudential Center,"Newark, New Jersey",16514,-74.1710659,40.733537,15100.00565921408,15.1,9.4
2022-10-20,Anaheim Ducks,Boston Bruins,0,Boston Bruins,TD Garden,"Boston, Massachusetts",17565,-71.062146,42.366198,316371.99047627306,316.4,196.6
2022-10-23,Anaheim Ducks,Detroit Red Wings,0,Detroit Red Wings,Little Caesars Arena,"Detroit, Michigan",19515,-83.0552673,42.3411026,985800.8017541037,985.8,612.5
2022-10-26,Anaheim Ducks,Tampa Bay Lightning,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,3170743.069587003,3170.7,1970.2
2022-10-28,Anaheim Ducks,Vegas Golden Knights,0,Vegas Golden Knights,T-Mobile Arena,"Paradise, Nevada",17368,-115.1781463,36.102909,354763.7199920004,354.8,220.4
2022-10-30,Anaheim Ducks,Toronto Maple Leafs,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,354763.7199920004,354.8,220.4
2022-11-01,Anaheim Ducks,San Jose Sharks,0,San Jose Sharks,SAP Center,"San Jose, California",17562,-121.9020006,37.3329688,535467.9400962438,535.5,332.7
2022-11-03,Anaheim Ducks,Vancouver Canucks,0,Vancouver Canucks,Rogers Arena,"Vancouver, British Columbia",18910,-123.1088227,49.2778358,1333237.7487206305,1333.2,828.4
2022-11-05,Anaheim Ducks,San Jose Sharks,0,San Jose Sharks,SAP Center,"San Jose, California",17562,-121.9020006,37.3329688,1333237.7487206305,1333.2,828.4
2022-11-06,Anaheim Ducks,Florida Panthers,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,535467.9400962438,535.5,332.7
2022-11-09,Anaheim Ducks,Minnesota Wild,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,0,0,0
2022-11-12,Anaheim Ducks,Chicago Blackhawks,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,0,0,0
2022-11-15,Anaheim Ducks,Detroit Red Wings,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,0,0,0
2022-11-17,Anaheim Ducks,Winnipeg Jets,0,Winnipeg Jets,Canada Life Centre,"Winnipeg, Manitoba",15321,-97.14376240000001,49.8926443,2465920.590728481,2465.9,1532.3
2022-11-19,Anaheim Ducks,St. Louis Blues,0,St. Louis Blues,Enterprise Center,"St. Louis, Missouri",18096,-90.20267830000002,38.6268402,1369311.8556424344,1369.3,850.9
2022-11-21,Anaheim Ducks,St. Louis Blues,0,St. Louis Blues,Enterprise Center,"St. Louis, Missouri",18096,-90.20267830000002,38.6268402,0,0,0
2022-11-23,Anaheim Ducks,New York Rangers,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,2532390.523410533,2532.4,1573.6
2022-11-25,Anaheim Ducks,Ottawa Senators,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,0,0,0
2022-11-27,Anaheim Ducks,Seattle Kraken,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,0,0,0
2022-11-29,Anaheim Ducks,Nashville Predators,0,Nashville Predators,Bridgestone Arena,"Nashville, Tennessee",17159,-86.7784959,36.1591736,2836269.313331287,2836.3,1762.4
2022-12-01,Anaheim Ducks,Dallas Stars,0,Dallas Stars,American Airlines Center,"Dallas, Texas",18532,-96.810883,32.790527,993456.2867977842,993.5,617.3
2022-12-03,Anaheim Ducks,Minnesota Wild,0,Minnesota Wild,Xcel Energy Center,"Saint Paul, Minnesota",17954,-93.100167,44.944596,1390268.248505878,1390.3,863.9
2022-12-04,Anaheim Ducks,Winnipeg Jets,0,Winnipeg Jets,Canada Life Centre,"Winnipeg, Manitoba",15321,-97.14376240000001,49.8926443,629189.0457560982,629.2,391
2022-12-06,Anaheim Ducks,Carolina Hurricanes,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,2465920.590728481,2465.9,1532.3
2022-12-09,Anaheim Ducks,San Jose Sharks,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,0,0,0
2022-12-12,Anaheim Ducks,Ottawa Senators,0,Ottawa Senators,Canadian Tire Centre,"Ottawa, Ontario",18652,-75.926823,45.2969151,3771841.686057773,3771.8,2343.7
2022-12-13,Anaheim Ducks,Toronto Maple Leafs,0,Toronto Maple Leafs,Scotiabank Arena,"Toronto, Ontario",18800,-79.3790989,43.6434661,330239.32592693914,330.2,205.2
2022-12-15,Anaheim Ducks,Montreal Canadiens,0,Montreal Canadiens,Bell Centre,"Montreal, Quebec",21105,-73.5693153,45.4960667,504626.11103514134,504.6,313.6
2022-12-17,Anaheim Ducks,Edmonton Oilers,0,Edmonton Oilers,Rogers Place,"Edmonton, Alberta",18347,-113.4978004,53.54697549999999,2976942.152581086,2976.9,1849.8
2022-12-20,Anaheim Ducks,Los Angeles Kings,0,Los Angeles Kings,Crypto.com Arena,"Los Angeles, California",18230,-118.2672541,34.0430175,2203506.9430089374,2203.5,1369.2
2022-12-21,Anaheim Ducks,Minnesota Wild,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,44590.21555509094,44.6,27.7
2022-12-23,Anaheim Ducks,Calgary Flames,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,0,0,0
2022-12-25,Anaheim Ducks,none,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,0,0,0
2022-12-28,Anaheim Ducks,Vegas Golden Knights,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,0,0,0
2022-12-30,Anaheim Ducks,Nashville Predators,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,0,0,0
2023-01-02,Anaheim Ducks,Philadelphia Flyers,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,0,0,0
2023-01-04,Anaheim Ducks,Dallas Stars,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,0,0,0
2023-01-06,Anaheim Ducks,San Jose Sharks,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,0,0,0
2023-01-08,Anaheim Ducks,Boston Bruins,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,0,0,0
2023-01-11,Anaheim Ducks,Edmonton Oilers,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,0,0,0
2023-01-13,Anaheim Ducks,New Jersey Devils,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,0,0,0
2023-01-16,Anaheim Ducks,Pittsburgh Penguins,0,Pittsburgh Penguins,PPG Paints Arena,"Pittsburgh, Pennsylvania",18387,-79.98955289999999,40.4393097,3415472.142105404,3415.5,2122.3
2023-01-17,Anaheim Ducks,Philadelphia Flyers,0,Philadelphia Flyers,Wells Fargo Center,"Philadelphia, Pennsylvania",19543,-75.17197949999999,39.9012015,414096.22607688245,414.1,257.3
2023-01-19,Anaheim Ducks,Columbus Blue Jackets,0,Columbus Blue Jackets,Nationwide Arena,"Columbus, Ohio",18144,-83.0060483,39.9692072,668516.9280593809,668.5,415.4
2023-01-21,Anaheim Ducks,Buffalo Sabres,0,Buffalo Sabres,KeyBank Center,"Buffalo, New York",19070,-78.8765439,42.8750811,472602.5091772625,472.6,293.7
2023-01-24,Anaheim Ducks,Arizona Coyotes,0,Arizona Coyotes,ASU Multi-Purpose Arena,"Tempe, Arizona",5000,-111.9280527,33.4242399,3055187.782254156,3055.2,1898.4
2023-01-26,Anaheim Ducks,Colorado Avalanche,0,Colorado Avalanche,Ball Arena,"Denver, Colorado",17809,-105.0076028,39.7486565,936540.704891935,936.5,581.9
2023-01-28,Anaheim Ducks,Arizona Coyotes,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,1322411.8274454428,1322.4,821.7
2023-02-04,Anaheim Ducks,none,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,0,0,0
2023-02-06,Anaheim Ducks,Dallas Stars,0,Dallas Stars,American Airlines Center,"Dallas, Texas",18532,-96.810883,32.790527,1959853.1396535619,1959.9,1217.8
2023-02-07,Anaheim Ducks,Chicago Blackhawks,0,Chicago Blackhawks,United Center,"Chicago, Illinois",19717,-87.6741759,41.880690800000004,1293700.0465703872,1293.7,803.9
2023-02-10,Anaheim Ducks,Pittsburgh Penguins,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,2785931.1976430956,2785.9,1731.1
2023-02-12,Anaheim Ducks,Vegas Golden Knights,0,Vegas Golden Knights,T-Mobile Arena,"Paradise, Nevada",17368,-115.1781463,36.102909,354763.7199920004,354.8,220.4
2023-02-15,Anaheim Ducks,Buffalo Sabres,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,354763.7199920004,354.8,220.4
2023-02-17,Anaheim Ducks,Los Angeles Kings,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,0,0,0
2023-02-20,Anaheim Ducks,Florida Panthers,0,Florida Panthers,FLA Live Arena,"Sunrise, Florida",19250,-80.3255204,26.1584958,3697962.7809939515,3698,2297.8
2023-02-21,Anaheim Ducks,Tampa Bay Lightning,0,Tampa Bay Lightning,Amalie Arena,"Tampa, Florida",19092,-82.4517771,27.9427373,289619.9784625895,289.6,180
2023-02-23,Anaheim Ducks,Washington Capitals,0,Washington Capitals,Capital One Arena,"Washington, D.C.",18506,-77.02085679999999,38.8981675,1319121.875007774,1319.1,819.7
2023-02-25,Anaheim Ducks,Carolina Hurricanes,0,Carolina Hurricanes,PNC Arena,"Raleigh, North Carolina",18680,-78.7218018,35.803329,375941.0258508837,375.9,233.6
2023-02-27,Anaheim Ducks,Chicago Blackhawks,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,3561990.9551492394,3562,2213.3
2023-03-01,Anaheim Ducks,Washington Capitals,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,0,0,0
2023-03-03,Anaheim Ducks,Montreal Canadiens,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,0,0,0
2023-03-07,Anaheim Ducks,Seattle Kraken,0,Seattle Kraken,Climate Pledge Arena,"Seattle, Washington",17151,-122.3540714,47.62207129999999,1582805.6081249462,1582.8,983.5
2023-03-08,Anaheim Ducks,Vancouver Canucks,0,Vancouver Canucks,Rogers Arena,"Vancouver, British Columbia",18910,-123.1088227,49.2778358,192556.2473019846,192.6,119.6
2023-03-10,Anaheim Ducks,Calgary Flames,0,Calgary Flames,Scotiabank Saddledome,"Calgary, Alberta",19289,-114.0519341,51.0374336,674474.179510419,674.5,419.1
2023-03-12,Anaheim Ducks,Nashville Predators,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,1942887.5180262537,1942.9,1207.3
2023-03-15,Anaheim Ducks,New York Islanders,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,0,0,0
2023-03-17,Anaheim Ducks,Columbus Blue Jackets,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,0,0,0
2023-03-19,Anaheim Ducks,Vancouver Canucks,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,0,0,0
2023-03-21,Anaheim Ducks,Calgary Flames,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,0,0,0
2023-03-23,Anaheim Ducks,Winnipeg Jets,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,0,0,0
2023-03-25,Anaheim Ducks,St. Louis Blues,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,0,0,0
2023-03-27,Anaheim Ducks,Colorado Avalanche,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,0,0,0
2023-03-30,Anaheim Ducks,Seattle Kraken,0,Seattle Kraken,Climate Pledge Arena,"Seattle, Washington",17151,-122.3540714,47.62207129999999,1582805.6081249462,1582.8,983.5
2023-04-01,Anaheim Ducks,Edmonton Oilers,0,Edmonton Oilers,Rogers Place,"Edmonton, Alberta",18347,-113.4978004,53.54697549999999,908013.9140014035,908,564.2
2023-04-02,Anaheim Ducks,Calgary Flames,0,Calgary Flames,Scotiabank Saddledome,"Calgary, Alberta",19289,-114.0519341,51.0374336,281894.74037509563,281.9,175.2
2023-04-05,Anaheim Ducks,Edmonton Oilers,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,1942887.5180262537,1942.9,1207.3
2023-04-08,Anaheim Ducks,Arizona Coyotes,0,Arizona Coyotes,ASU Multi-Purpose Arena,"Tempe, Arizona",5000,-111.9280527,33.4242399,553009.54999019,553,343.6
2023-04-09,Anaheim Ducks,Colorado Avalanche,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,553009.54999019,553,343.6
2023-04-11,Anaheim Ducks,Vancouver Canucks,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,0,0,0
2023-04-13,Anaheim Ducks,Los Angeles Kings,1,Anaheim Ducks,Honda Center,"Anaheim, California",17174,-117.8764687,33.8078476,0,0,0
2022-10-06,Arizona Coyotes,none,1,Arizona Coyotes,ASU Multi-Purpose Arena,"Tempe, Arizona",5000,-111.9280527,33.4242399,NA,NA,NA
2022-10-13,Arizona Coyotes,Pittsburgh Penguins,0,Pittsburgh Penguins,PPG Paints Arena,"Pittsburgh, Pennsylvania",18387,-79.98955289999999,40.4393097,2929634.449532717,2929.6,1820.4
2022-10-15,Arizona Coyotes,Boston Bruins,0,Boston Bruins,TD Garden,"Boston, Massachusetts",17565,-71.062146,42.366198,775242.8317521064,775.2,481.7
2022-10-17,Arizona Coyotes,Toronto Maple Leafs,0,Toronto Maple Leafs,Scotiabank Arena,"Toronto, Ontario",18800,-79.3790989,43.6434661,691510.5726990816,691.5,429.7
2022-10-20,Arizona Coyotes,Montreal Canadiens,0,Montreal Canadiens,Bell Centre,"Montreal, Quebec",21105,-73.5693153,45.4960667,504626.11103514134,504.6,313.6
2022-10-22,Arizona Coyotes,Ottawa Senators,0,Ottawa Senators,Canadian Tire Centre,"Ottawa, Ontario",18652,-75.926823,45.2969151,185603.87610454514,185.6,115.3
2022-10-25,Arizona Coyotes,Columbus Blue Jackets,0,Columbus Blue Jackets,Nationwide Arena,"Columbus, Ohio",18144,-83.0060483,39.9692072,828751.2195212457,828.8,515
2022-10-28,Arizona Coyotes,Winnipeg Jets,1,Arizona Coyotes,ASU Multi-Purpose Arena,"Tempe, Arizona",5000,-111.9280527,33.4242399,2669148.662318811,2669.1,1658.5
2022-10-30,Arizona Coyotes,New York Rangers,1,Arizona Coyotes,ASU Multi-Purpose Arena,"Tempe, Arizona",5000,-111.9280527,33.4242399,0,0,0
2022-11-01,Arizona Coyotes,Florida Panthers,1,Arizona Coyotes,ASU Multi-Purpose Arena,"Tempe, Arizona",5000,-111.9280527,33.4242399,0,0,0
2022-11-03,Arizona Coyotes,Dallas Stars,1,Arizona Coyotes,ASU Multi-Purpose Arena,"Tempe, Arizona",5000,-111.9280527,33.4242399,0,0,0
